,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,TATACONSUM,2021-01-04,606.95,606.95,597.5,2120531,604.0,-2.9500000000000455,,,,,,,,,,,,
1,TATACONSUM,2021-01-05,604.0,614.3,601.1,3813409,609.55,5.5499999999999545,,,,,,,,,,,,
2,TATACONSUM,2021-01-06,613.0,613.8,595.4,2167700,604.95,-8.049999999999955,,,,,,,,,,,,
3,TATACONSUM,2021-01-07,609.7,610.3,598.55,2195640,600.85,-8.850000000000023,,,,,,,,,,,,
4,TATACONSUM,2021-01-08,606.8,612.5,602.6,3458752,609.55,2.75,606.1177725118483,,,,,,,,,,,
5,TATACONSUM,2021-01-11,613.0,632.8,609.5,6360644,629.0,16.0,614.4792481203008,,,,,,,,,,,
6,TATACONSUM,2021-01-12,632.6,634.9,620.0,4562628,624.3,-8.300000000000068,617.9563380281691,,,,,,,,,,,
7,TATACONSUM,2021-01-13,626.8,633.0,611.3,3660044,620.4,-6.399999999999977,618.8039651070579,,,,,,,,,,,
8,TATACONSUM,2021-01-14,622.9,623.0,608.65,3576000,614.0,-8.899999999999977,617.1598768973971,615.9120120214241,,,,,,,,,,
9,TATACONSUM,2021-01-15,610.0,613.5,595.0,4492648,602.4,-7.600000000000023,612.1530926324859,612.8845369574038,,,,,,,,,,
10,TATACONSUM,2021-01-18,601.5,601.5,581.0,3346718,584.75,-16.75,602.9118907018315,606.7288610300697,,,,,,,,,,
11,TATACONSUM,2021-01-19,590.0,591.0,577.35,5743934,582.7,-7.2999999999999545,596.1222637931525,601.5684694123319,603.2645316031518,,,,,,,,,
12,TATACONSUM,2021-01-20,588.0,602.7,583.6,6156865,596.65,8.649999999999977,596.2990844072779,600.5275504020993,602.1159976342086,,,,,,,,,
13,TATACONSUM,2021-01-21,603.4,612.75,590.05,4506198,595.25,-8.149999999999977,595.9481876123053,599.4234829203167,600.946937456104,,,,,,,,,
14,TATACONSUM,2021-01-22,599.2,606.9,582.6,4307126,584.75,-14.450000000000045,592.2069146192281,596.3817654157848,598.2336731503138,,,,,,,,,
15,TATACONSUM,2021-01-25,587.8,589.85,570.0,2016556,573.6,-14.199999999999932,585.9951527185676,591.693447927032,594.1627644366762,,,,,,,,,
16,TATACONSUM,2021-01-27,573.0,588.55,566.55,3662455,572.65,-0.35000000000002274,581.5422489632922,587.7970185522233,590.647723198978,,,,,,,,,
17,TATACONSUM,2021-01-28,571.9,576.0,561.5,4769073,564.6,-7.2999999999999545,575.8910087899567,583.0725055823767,586.4319487039801,,,,,,,,,
18,TATACONSUM,2021-01-29,574.0,574.0,554.25,3593336,559.8,-14.200000000000045,570.5249185876319,578.3499451981035,582.1558356454719,,,,,,,,,
19,TATACONSUM,2021-02-01,563.0,588.75,554.35,4707518,584.15,21.149999999999977,575.0679786201098,579.5234861646514,582.473888813215,,,,,,,,,
20,TATACONSUM,2021-02-02,590.0,596.4,567.15,5713446,575.35,-14.649999999999977,575.1620045976107,578.6810185393842,581.3440646331297,586.3425441629504,,,,,,,,
21,TATACONSUM,2021-02-03,589.0,598.0,571.0,10599727,580.15,-8.850000000000023,576.8248919885834,578.9769987802089,581.155585453775,585.7007429019314,,,,,,,,
22,TATACONSUM,2021-02-04,585.0,590.0,577.55,3816120,588.05,3.0499999999999545,580.5669280923897,580.8023741384301,582.2395098336293,585.9411612018653,,,,,,,,
23,TATACONSUM,2021-02-05,593.9,600.0,589.2,5918498,592.5,-1.3999999999999773,584.5448550298178,583.1529998267083,583.8472205072098,586.604795103095,,,,,,,,
24,TATACONSUM,2021-02-08,595.0,604.8,594.9,3970852,597.1,2.1000000000000227,588.7300690965952,585.9529778793736,585.9179037938842,587.655919185578,588.3748928722749,,,,,,,
