,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,THERMAX,2021-01-04,913.0,925.0,907.05,43090,921.0,8.0,,,,,,,,,,,,
1,THERMAX,2021-01-05,920.0,960.1,912.05,43827,956.45,36.450000000000045,,,,,,,,,,,,
2,THERMAX,2021-01-06,956.45,966.45,943.0,31544,958.3,1.849999999999909,,,,,,,,,,,,
3,THERMAX,2021-01-07,966.5,981.0,959.15,32663,973.85,7.350000000000023,,,,,,,,,,,,
4,THERMAX,2021-01-08,980.0,989.0,960.6,40666,976.2,-3.7999999999999545,966.1123222748815,,,,,,,,,,,
5,THERMAX,2021-01-11,976.2,986.35,964.0,36793,980.6,4.399999999999977,971.4063157894739,,,,,,,,,,,
6,THERMAX,2021-01-12,980.7,991.05,980.0,29552,986.65,5.949999999999932,976.8034239922293,,,,,,,,,,,
7,THERMAX,2021-01-13,991.6,1015.05,982.0,89401,996.15,4.5499999999999545,983.5141237113402,,,,,,,,,,,
8,THERMAX,2021-01-14,999.95,1030.0,991.0,67417,1016.85,16.899999999999977,994.9228496166086,986.9845765564487,,,,,,,,,,
9,THERMAX,2021-01-15,1026.5,1026.5,985.5,19762,990.8,-35.700000000000045,993.5243136579062,987.8394528928312,,,,,,,,,,
10,THERMAX,2021-01-18,999.0,1002.05,964.0,12243,970.75,-28.25,985.8440844893461,984.1003782479212,,,,,,,,,,
11,THERMAX,2021-01-19,972.0,996.15,969.45,17017,991.1,19.100000000000023,987.6096642615368,985.603603447466,984.1371419062843,,,,,,,,,
12,THERMAX,2021-01-20,983.05,993.05,977.6,24330,985.1,2.050000000000068,986.7687888957471,985.4970234612671,984.3043306498347,,,,,,,,,
13,THERMAX,2021-01-21,989.9,992.35,960.05,162693,966.8,-23.100000000000023,980.0896466128266,981.5855922030263,981.3239020220793,,,,,,,,,
14,THERMAX,2021-01-22,966.8,978.3,954.1,11651,957.5,-9.299999999999955,972.5425293719208,976.5928057044968,977.3329905824114,,,,,,,,,
15,THERMAX,2021-01-25,960.0,962.3,940.5,7179,953.75,-6.25,966.2688015477006,971.891926579371,973.435715447284,,,,,,,,,
16,THERMAX,2021-01-27,941.7,968.0,938.9,47516,961.95,20.25,964.8277384114737,969.8577353491651,971.5590266767398,,,,,,,,,
17,THERMAX,2021-01-28,950.0,967.0,943.05,18149,961.55,11.549999999999955,963.7344191580063,968.1657074138157,969.9390847316715,,,,,,,,,
18,THERMAX,2021-01-29,965.9,999.0,945.0,38019,992.1,26.200000000000045,973.1938798684174,973.0225605615366,973.4973139931011,,,,,,,,,
19,THERMAX,2021-02-01,982.05,1005.0,957.35,26356,994.1,12.050000000000068,980.1646828991984,977.2872165856285,976.7832766238299,,,,,,,,,
20,THERMAX,2021-02-02,999.1,1042.55,999.1,56658,1028.55,29.449999999999932,996.2963561037747,987.6352167236129,984.9933002959688,981.7298859773256,,,,,,,,
21,THERMAX,2021-02-03,1033.7,1050.0,1009.0,32366,1014.45,-19.25,1002.3483796322608,993.0380391720835,989.6429435670893,985.1210302126909,,,,,,,,
22,THERMAX,2021-02-04,1024.0,1217.3,1024.0,944154,1206.75,182.75,1070.4883246835386,1036.0342360866673,1023.7760276641123,1007.802098272949,,,,,,,,
23,THERMAX,2021-02-05,1207.0,1286.0,1136.0,1029936,1179.8,-27.200000000000045,1106.927714405092,1064.9238160534733,1048.223339789705,1025.2051237229564,,,,,,,,
24,THERMAX,2021-02-08,1173.85,1173.85,1122.0,437169,1147.45,-26.399999999999864,1120.4356778808271,1081.4916443283298,1063.7270299402696,1037.4482894998198,1031.60242489819,,,,,,,
25,THERMAX,2021-02-09,1162.2,1163.0,1130.0,61825,1155.2,-7.0,1132.0240912044371,1096.27800449412,1077.9850374313091,1049.1334381433867,1042.4655580854142,1041.1109131148608,,,,36.87412431644839,36.87412431644839,0.0
26,THERMAX,2021-02-10,1149.95,1150.0,1130.0,38422,1133.9,-16.049999999999955,1132.649405142408,1103.820640570297,1086.682959087359,1057.475827352891,1050.4146502291107,1048.9677513967906,,,,37.71520769056838,37.04234099127239,0.6728666992959873
27,THERMAX,2021-02-11,1135.0,1169.85,1135.0,48702,1150.2,15.200000000000045,1138.4996720750928,1113.1144893742899,1096.5465638399576,1066.533378530403,1059.003734672149,1057.4495989915056,,,,39.09696484845199,37.45326576270831,1.6436990857436768
28,THERMAX,2021-02-12,1145.15,1162.0,1135.0,19437,1140.6,-4.550000000000182,1139.199786860143,1118.6201110363024,1103.3777841838673,1073.7197311758998,1065.9634833491534,1064.3494296637286,,,,39.02835452013869,37.768283514194394,1.2600710059442974
29,THERMAX,2021-02-15,1150.0,1175.0,1135.35,40096,1159.65,9.650000000000091,1146.0165601235492,1126.8362599287248,1112.0930928808527,1082.00647510227,1073.888125276399,1072.1876750927233,,,,39.9054177881294,38.195710368981395,1.7097074191480033
30,THERMAX,2021-02-16,1163.95,1180.0,1139.1,49215,1147.5,-16.450000000000045,1146.5110418015454,1130.973104875777,1117.5711809028678,1088.287674119015,1080.0673617264902,1078.3317162132985,,,,39.23946468956933,38.404461233098985,0.8350034564703464
31,THERMAX,2021-02-17,1147.5,1227.8,1137.6,64102,1157.0,9.5,1150.0073693048882,1136.182611296835,1123.6662170416344,1094.8448112163317,1086.4803330022528,1084.7017212061758,,,,38.96449583545859,38.51646815357091,0.4480276818876803
32,THERMAX,2021-02-18,1161.0,1179.95,1154.15,241582,1169.7,8.700000000000045,1156.5715896797133,1142.890340565985,1130.7770285937436,1101.9560137499586,1093.373024319276,1091.5371279326148,,,,39.239900661128786,38.661154655082484,0.5787460060463019
33,THERMAX,2021-02-19,1180.0,1189.0,1154.7,108281,1162.35,-17.65000000000009,1158.497728437339,1146.7842468978677,1135.6510492453542,1107.670037380642,1099.052539305495,1097.1958704423866,,,,38.455178802967566,38.6199594846595,-0.16478068169193705
34,THERMAX,2021-02-22,1168.2,1171.9,1140.75,34467,1157.55,-10.650000000000091,1158.1818187412714,1148.9382712943964,1139.029879563442,1112.3718906673628,1103.8432311088015,1101.9908531699434,,,,37.03902639349849,38.3037728664273,-1.2647464729288131
35,THERMAX,2021-02-23,1157.5,1253.0,1151.65,133633,1187.35,29.84999999999991,1167.9045502789793,1156.6231109085538,1146.4819602675734,1119.4159520653118,1110.6482393803612,1108.7361759159537,,,,37.745784351619704,38.192175163465784,-0.4463908118460793
36,THERMAX,2021-02-24,1199.0,1280.0,1187.75,81132,1206.1,7.099999999999909,1180.6363707387525,1166.5210583809214,1155.6729766752826,1127.5350905196267,1118.3912852301041,1116.3922542400107,,,,39.280722435271855,38.409884617827,0.8708378174448583
37,THERMAX,2021-02-25,1226.6,1315.0,1217.7,150078,1295.9,69.30000000000018,1219.0575883106387,1192.4022220121217,1177.2841876856926,1143.2614329940318,1132.7306094703224,1130.4435448417864,,,,46.84064284390615,40.09603626304283,6.744606580863319
38,THERMAX,2021-02-26,1271.0,1436.9,1266.0,214848,1359.35,88.34999999999991,1265.82173188429,1225.797326323144,1205.3358542024926,1163.395187419606,1150.9667881738433,1148.2866185603164,,,,57.0492356421762,43.486676138869505,13.562559503306694
39,THERMAX,2021-03-01,1365.0,1432.8,1365.0,117411,1397.8,32.799999999999955,1309.8144919014653,1260.202434281785,1234.982872403156,1185.1861863926797,1170.7593705262605,1167.6609078789172,,,,67.32196452423887,48.25373381594338,19.068230708295488
40,THERMAX,2021-03-02,1397.8,1458.95,1391.3,112496,1417.55,19.75,1345.7263300995003,1291.6752941939483,1263.0999349043082,1206.7431694402671,1190.4841766894233,1186.9952651759838,,,,76.10466972832432,53.823920998419574,22.28074872990475
41,THERMAX,2021-03-03,1408.65,1423.85,1347.0,83061,1381.45,-27.200000000000045,1357.634220544966,1309.6317629225787,1281.3239871956878,1222.9210205304025,1205.7014852894877,1201.9911175144332,,,,79.33286968125458,58.92571073498658,20.407158946267998
42,THERMAX,2021-03-04,1373.9,1449.9,1365.6,68262,1404.8,30.899999999999864,1373.3561474512678,1328.6667057891457,1300.334728653454,1239.7345824831825,1221.5231412762741,1217.5837661613741,,,,82.7509624920799,63.690761086405246,19.06020140567466
