,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,TIINDIA,2021-01-04,799.0,811.5,795.0,115652,802.15,3.1499999999999773,,,,,,,,,,,,
1,TIINDIA,2021-01-05,800.1,845.0,800.1,164033,821.0,20.899999999999977,,,,,,,,,,,,
2,TIINDIA,2021-01-06,825.05,837.0,804.7,58216,812.25,-12.799999999999955,,,,,,,,,,,,
3,TIINDIA,2021-01-07,823.75,825.0,812.25,63587,821.55,-2.2000000000000455,,,,,,,,,,,,
4,TIINDIA,2021-01-08,828.0,836.0,818.05,335005,833.7,5.7000000000000455,823.0938388625593,,,,,,,,,,,
5,TIINDIA,2021-01-11,837.85,846.65,816.0,117132,839.15,1.2999999999999545,828.9609774436092,,,,,,,,,,,
6,TIINDIA,2021-01-12,829.0,840.45,821.2,56450,832.7,3.7000000000000455,830.2847984458476,,,,,,,,,,,
7,TIINDIA,2021-01-13,835.2,836.85,821.5,177584,830.3,-4.900000000000091,830.2900713719271,,,,,,,,,,,
8,TIINDIA,2021-01-14,837.1,838.5,828.0,25049,833.7,-3.3999999999999773,831.4570705753483,829.5117655964201,,,,,,,,,,
9,TIINDIA,2021-01-15,831.3,832.75,810.2,53791,821.85,-9.449999999999932,828.1981999138304,827.7950853379396,,,,,,,,,,
10,TIINDIA,2021-01-18,822.9,834.7,809.1,66279,824.3,1.3999999999999773,826.8836018480974,827.0303806366926,,,,,,,,,,
11,TIINDIA,2021-01-19,828.6,850.0,822.0,259055,845.75,17.149999999999977,833.2212476651907,831.0505698054079,830.1549063267769,,,,,,,,,
12,TIINDIA,2021-01-20,850.0,878.0,846.1,103837,851.6,1.6000000000000227,839.3791391127214,835.3995431842739,833.8785892764705,,,,,,,,,
13,TIINDIA,2021-01-21,844.0,859.25,825.0,106840,830.1,-13.899999999999977,836.2754611320264,834.2908747960512,833.2352161662723,,,,,,,,,
14,TIINDIA,2021-01-22,832.1,832.9,810.6,94522,823.25,-8.850000000000023,831.9237028258806,832.002173312234,831.5625215174863,,,,,,,,,
15,TIINDIA,2021-01-25,827.35,830.0,750.1,268542,781.3,-46.05000000000007,815.0234055482649,821.5680440198297,823.2562435391116,,,,,,,,,
16,TIINDIA,2021-01-27,782.6,799.1,780.5,156972,789.6,7.0,806.5403270533858,815.0271473160752,817.7570393668993,,,,,,,,,
17,TIINDIA,2021-01-28,782.0,791.8,753.1,36781,756.8,-25.200000000000045,789.9489916829767,803.1680839596077,807.8912583966976,,,,,,,,,
18,TIINDIA,2021-01-29,761.5,794.0,750.1,63133,779.2,17.700000000000045,786.3643774609714,798.3043737160364,803.2844958177049,,,,,,,,,
19,TIINDIA,2021-02-01,772.0,805.95,752.4,777606,796.0,24.0,789.5772178338271,797.8381234735177,802.1226773522551,,,,,,,,,
20,TIINDIA,2021-02-02,795.0,813.0,774.35,79267,805.3,10.299999999999955,794.8191961646302,799.3443916505987,802.6265897587339,808.1384329720013,,,,,,,,
21,TIINDIA,2021-02-03,833.0,855.0,822.0,304724,843.25,10.25,810.964955439775,808.1907882057701,809.0388616010009,811.777429707744,,,,,,,,
22,TIINDIA,2021-02-04,847.4,858.8,804.35,118368,826.95,-20.449999999999932,816.2937784501619,811.964909041789,811.8548105770094,813.3301603808953,,,,,,,,
