,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,TRENT,2021-01-04,679.0,683.3,674.0,565557,678.5,-0.5,,,,,,,,,,,,
1,TRENT,2021-01-05,679.9,679.9,672.0,450769,675.0,-4.899999999999977,,,,,,,,,,,,
2,TRENT,2021-01-06,678.9,684.3,672.0,227409,676.65,-2.25,,,,,,,,,,,,
3,TRENT,2021-01-07,675.85,684.85,672.5,302941,675.45,-0.39999999999997726,,,,,,,,,,,,
4,TRENT,2021-01-08,678.0,701.0,674.9,897082,695.4,17.399999999999977,683.49336492891,,,,,,,,,,,
5,TRENT,2021-01-11,702.9,705.15,688.25,487073,693.75,-9.149999999999977,687.2412781954888,,,,,,,,,,,
6,TRENT,2021-01-12,695.0,697.0,683.0,333187,684.6,-10.399999999999977,686.3061194754737,,,,,,,,,,,
7,TRENT,2021-01-13,687.9,693.0,667.0,692189,673.25,-14.649999999999977,681.7773750991278,,,,,,,,,,,
8,TRENT,2021-01-14,676.85,677.0,649.0,543503,654.6,-22.25,672.4763079651558,675.800902553015,,,,,,,,,,
9,TRENT,2021-01-15,653.9,659.0,639.5,705409,643.5,-10.399999999999977,662.6470848772082,668.5636253163198,,,,,,,,,,
10,TRENT,2021-01-18,645.9,700.0,630.0,488034,660.05,14.149999999999977,661.7712645417736,666.7008927434198,,,,,,,,,,
11,TRENT,2021-01-19,669.0,690.25,656.05,437784,677.75,8.75,667.1388797656184,669.0737776004669,670.1487014800765,,,,,,,,,
12,TRENT,2021-01-20,677.0,695.0,657.0,628236,679.95,2.9500000000000455,671.431308668704,671.375564133246,671.8505792493991,,,,,,,,,
13,TRENT,2021-01-21,685.0,685.0,660.55,874465,666.6,-18.399999999999977,669.8153369550738,670.3765125534474,670.9565732448132,,,,,,,,,
14,TRENT,2021-01-22,663.0,680.0,640.05,1258060,660.5,-2.5,666.7031173907994,668.3291757840731,669.20491821602,,,,,,,,,
15,TRENT,2021-01-25,666.0,677.0,652.8,410716,670.75,4.75,668.0541351023711,668.8273633609175,669.4602551631049,,,,,,,,,
16,TRENT,2021-01-27,663.0,672.75,653.4,390506,659.2,-3.7999999999999545,665.0997581627795,666.8575340765793,667.7837983732869,,,,,,,,,
17,TRENT,2021-01-28,650.0,677.15,647.0,472720,659.25,9.25,663.1485184893794,665.3081154160548,666.4026193254011,,,,,,,,,
18,TRENT,2021-01-29,657.1,662.55,585.0,946190,621.55,-35.55000000000007,649.2760879033984,656.4285239331847,659.2009356131996,,,,,,,,,
19,TRENT,2021-02-01,629.0,650.0,625.1,580728,641.15,12.149999999999977,646.5665771080487,653.3371783586371,656.321956636633,,,,,,,,,
20,TRENT,2021-02-02,641.9,682.0,641.15,732091,665.75,23.850000000000023,652.9623336635642,655.8428534605783,657.8172117763629,661.3427536132323,,,,,,,,
21,TRENT,2021-02-03,673.45,690.0,664.05,642063,680.55,7.099999999999909,662.1594517032572,660.8210151180842,661.4055077110693,663.3334111890766,,,,,,,,
22,TRENT,2021-02-04,679.95,679.95,662.0,426826,669.65,-10.300000000000068,664.6565236365703,662.5972974144429,662.7016882832669,663.9798383274904,,,,,,,,
23,TRENT,2021-02-05,679.2,692.1,668.0,1424089,688.45,9.25,672.5881535885177,667.7923709728024,666.7361773673603,666.4557688015045,,,,,,,,
24,TRENT,2021-02-08,695.9,695.9,682.0,521522,691.9,-4.0,679.025690665846,672.6321810638077,670.6679040653403,669.0040796192277,668.8650748859122,,,,,,,
25,TRENT,2021-02-09,694.5,694.7,671.05,452702,678.3,-16.200000000000045,678.783787390641,673.76918122317,671.857528507814,669.926564829563,669.6943213176597,669.6580095819866,,,,2.1995189258274195,2.1995189258274195,0.0
26,TRENT,2021-02-10,676.95,699.0,670.0,336479,690.85,13.899999999999977,682.8059290539248,677.1936247749911,674.8119260698415,671.9857664294448,671.5335455277825,671.4524236362239,,,,3.3595024336176493,2.4315156273854655,0.9279868062321839
27,TRENT,2021-02-11,689.0,699.0,677.2,438577,693.55,4.5499999999999545,686.3873280599564,680.4712396491899,677.7217743942662,674.09221983413,673.4286251865938,673.303891696217,,,,4.417882698049198,2.828789041518212,1.5890936565309857
28,TRENT,2021-02-12,689.0,694.95,681.5,168139,685.65,-3.3500000000000227,686.1415501173379,681.5085969520272,678.9511780633065,675.213619493289,674.47104663624,674.328373306935,,,,4.622804756371579,3.1875921844888855,1.4352125718826936
29,TRENT,2021-02-15,685.9,712.95,680.95,718300,701.7,15.800000000000068,691.3277271246313,685.551882907196,682.4744622062103,677.7678516142754,676.7742564595451,676.5796245539532,,,,5.894837652257138,3.729041278042536,2.165796374214602
30,TRENT,2021-02-16,710.7,758.0,710.0,2095315,750.25,39.549999999999955,710.9685530356036,698.5043338118222,692.960562009404,684.7192991029073,682.9420655852805,682.5897140932948,,,,10.370847916109255,5.057402605655881,5.313445310453375
31,TRENT,2021-02-17,749.2,778.0,730.25,1348015,768.4,19.199999999999932,730.1124130624245,712.4945512416591,704.6222376915542,692.7048507655328,690.065690759023,689.5380282467852,,,,15.084209444769044,7.062763973478514,8.02144547129053
32,TRENT,2021-02-18,770.0,786.85,765.35,460573,779.0,9.0,746.4083005555726,725.8040769074267,716.1113271700634,700.9028433676135,697.4316988578938,696.7323970288369,,,,19.378930141226533,9.525997207028118,9.852932934198416
33,TRENT,2021-02-19,772.0,805.0,765.55,630929,794.0,22.0,762.2722167124718,739.4501809227197,728.1352508931391,709.7109944100782,705.3830639056886,704.5051691772785,,,,23.63008171586057,12.346814108794609,11.28326760706596
34,TRENT,2021-02-22,799.75,844.9,792.0,1665511,816.35,16.600000000000023,780.2981568545026,754.8363861244987,741.7460705220902,719.7631462681674,714.4707813018563,713.3909577039697,,,,28.355112818120574,15.548473850659803,12.80663896746077
35,TRENT,2021-02-23,824.9,832.95,780.5,417058,785.45,-39.44999999999993,782.0154386892438,760.9610964817458,748.4862277612399,725.9343105565646,720.2549132562256,719.0852683327162,,,,29.40095942852372,18.318970966232587,11.081988462291132
36,TRENT,2021-02-24,784.1,799.55,763.0,301313,784.95,0.8500000000000227,782.9936260913987,765.7601230839342,754.1076660110979,731.4619314393493,725.5029780342688,724.2644562824669,,,,29.843209728630995,20.623818718712272,9.219391009918724
37,TRENT,2021-02-25,794.8,825.0,788.75,729553,819.25,24.450000000000045,795.0790865201411,776.4603208112692,764.147134097679,739.6618897062605,733.0759523880297,731.6996199969466,,,,32.447514100732405,22.9885577951163,9.458956305616105
38,TRENT,2021-02-26,800.1,823.0,786.0,1056061,808.65,8.549999999999955,799.6027249604222,782.8993265123457,771.0038829703263,746.089761806038,739.157434799482,737.6978401088013,,,,33.30604286152504,25.052054808398047,8.253988053126996
39,TRENT,2021-03-01,820.0,839.9,806.65,442822,830.4,10.399999999999977,809.86848423536,792.400724162252,780.1532118249596,753.9275032486294,746.4738164663419,744.896005016143,,,,35.25720680881659,27.09308520848176,8.16412160033483
40,TRENT,2021-03-02,838.0,921.55,830.45,3800314,905.9,67.89999999999998,841.8789914202118,815.102993449154,799.519405229965,768.0263789957161,759.2159962413192,757.3531664666502,,,,42.16623876331471,30.107715919448353,12.058522843866356
41,TRENT,2021-03-03,923.0,923.0,891.0,1535060,910.9,-12.100000000000023,864.8859952048973,834.2640247995984,816.6702684905205,781.2564751396988,771.3030925335976,769.194305972903,,,,47.47596251761752,33.58136523908219,13.894597278535329
42,TRENT,2021-03-04,900.0,944.7,895.05,1173560,927.05,27.049999999999955,885.6073306918547,852.822482862886,833.6646667566027,794.7341649183717,783.679749358598,781.3307979436564,,,,52.33386881294632,37.331865953855015,15.002002859091306
43,TRENT,2021-03-05,925.0,935.8,877.05,751162,881.4,-43.60000000000002,884.2048871028496,858.5382974888576,841.0132845515332,802.7335977044044,791.4255320823505,789.0029105315222,,,,52.010374020011,40.26756756708622,11.742806452924782
44,TRENT,2021-03-08,886.0,909.45,880.1,462683,884.6,-1.3999999999999773,884.3365914034682,863.7508650304231,847.7225797555511,810.279522049075,798.7937391423987,796.3131920380359,,,,51.40938771751519,42.49593159717201,8.913456120343177
45,TRENT,2021-03-09,890.0,944.5,888.1,1947228,905.75,15.75,891.4743943256507,872.15098472579,856.6539827858452,819.0682697658195,807.2336045355914,804.6617925852241,,,,51.99219020062105,44.39518331786182,7.597006882759231
46,TRENT,2021-03-10,915.0,934.0,895.5,606764,912.2,-2.7999999999999545,898.3829295870015,880.1610110675775,865.202850699991,827.6318866262627,815.5000299958804,812.8474408403972,,,,52.355409859593806,45.98722862620822,6.3681812333855845
47,TRENT,2021-03-12,916.1,924.9,872.75,664299,876.55,-39.55000000000007,891.1052863656533,879.4387927480552,866.9491409988591,832.1253034985334,820.2991200254875,817.6864916733575,,,,49.26264932550157,46.642312766066894,2.6203365594346764
48,TRENT,2021-03-15,880.0,888.1,841.1,1045124,845.85,-34.14999999999998,876.020190874948,872.7209143474887,863.7022146376435,833.3848052235189,822.3042736044624,819.82184817323,,,,43.88036646441344,46.08992350573621,-2.2095570413227676
49,TRENT,2021-03-16,838.85,865.85,838.2,779547,849.25,10.399999999999977,867.0967939026372,868.0266644794181,861.4782726887307,834.8394874428251,824.4156097713512,822.0492011739098,786.8349250278326,,,39.429071514820976,44.75775310755317,-5.328681592732195
50,TRENT,2021-03-17,853.55,860.0,820.0,477076,822.55,-31.0,852.2478625862327,858.9312277320057,855.4881126968622,833.7135418340167,824.2696386961422,822.0870444812168,788.4447876171574,,,33.40106821564541,42.486416129171616,-9.085347913526206
51,TRENT,2021-03-18,834.9,846.7,818.5,400106,823.15,-11.75,842.5485750507277,851.7749168171038,850.5121785119134,832.746411128021,824.1821501897582,822.1672480087933,790.0000176683661,,,28.344930503120054,39.6581190039613,-11.31318850084125
52,TRENT,2021-03-19,819.0,827.3,776.0,1242150,799.2,-19.799999999999955,828.0990500271039,841.2598566147944,842.6168695278568,829.6770934068404,822.2324189086119,820.4366796812403,790.4099979823948,,,22.180189846616486,36.16253317249234,-13.982343325875853
53,TRENT,2021-03-22,800.15,816.85,790.5,655786,800.0,-0.14999999999997726,818.7327000151677,833.0078370504751,836.0596355887087,826.9633867050117,820.4992347914358,818.8987495158032,790.8350856607892,,,17.160886072905555,32.362203752574985,-15.20131767966943
54,TRENT,2021-03-23,807.0,836.9,801.05,798486,813.8,6.7999999999999545,817.088466676439,829.1662516740333,832.6347260300543,825.7603519141454,819.9775187813174,818.5155031280135,791.8478557399092,,,14.119222902040747,28.71360758246814,-14.594384680427392
55,TRENT,2021-03-24,816.9,846.0,778.45,1406039,785.05,-31.850000000000023,806.4089777828224,820.3429683274043,825.3133654371036,822.0415288699904,817.2600620773578,816.0028165368545,791.5495225424057,,,9.310548900249046,24.83299584602432,-15.522446945775275
56,TRENT,2021-03-25,789.1,805.1,745.8,1361204,757.95,-31.149999999999977,790.2559851870656,807.8643373114422,814.9490119075257,816.1894446566853,812.6496322982232,811.6484362256818,790.0818167234751,,,3.3005756818438385,20.526511813188225,-17.225936131344387
57,TRENT,2021-03-26,772.0,779.15,755.25,703225,760.05,-11.950000000000045,780.1873234574275,798.3014469505805,806.5024867892764,811.0654963772245,808.5641479788677,807.7817891718971,788.7757902187549,,,-1.279302382620699,16.16534897402644,-17.44465135664714
58,TRENT,2021-03-30,769.95,777.15,750.05,628414,760.65,-9.300000000000068,773.6748823046861,790.7711431352682,799.4478882388096,806.4656515869419,804.845374189415,804.2529067428129,787.557856686223,,,-4.805018504003328,11.971275478420488,-16.776293982423816
59,TRENT,2021-03-31,765.9,772.85,747.05,624642,751.05,-14.850000000000023,766.1332548695855,782.8269023337009,792.0017289913762,801.4112651077334,800.6730189298156,800.2726421751436,785.9833892814211,,,-8.270913183767334,7.922837745982925,-16.19375092975026
60,TRENT,2021-04-01,760.0,764.2,739.05,810538,750.85,-9.149999999999977,761.0388365796314,776.4315140262376,785.6704561324445,796.8010216565239,796.8112171814558,796.577920035081,784.4741012838061,,,-10.907463902636437,4.156777416259052,-15.064241318895489
61,TRENT,2021-04-05,747.0,748.75,721.4,738836,729.45,-17.549999999999955,750.5092243862937,767.035202005114,777.0208804922943,790.6615372694714,791.5930874928114,791.5630205950499,782.1191471512672,,,-14.542140102755639,0.41699391245611395,-14.959134015211752
62,TRENT,2021-04-06,731.5,736.05,700.0,1267810,703.65,-27.850000000000023,734.88948292407,754.3581516571993,765.732749384017,782.7318308014777,784.784274504707,784.9994884028546,778.7727678018297,,,-19.266739018837598,-3.5197526738026284,-15.74698634503497
63,TRENT,2021-04-07,700.05,733.0,694.5,1618249,722.05,22.0,730.6096552826903,747.8965172697258,759.0121735876346,777.2028982226692,779.9296287958966,780.3024674368442,776.3620491724483,,,-21.290293849209547,-7.073860908884012,-14.216432940325536
64,TRENT,2021-04-08,725.9,736.3,720.55,613211,729.75,3.8500000000000227,730.3231035217925,744.2672119932591,754.5102141099854,772.8801831862457,776.0483051341139,776.5325009913663,774.3875212665087,,,-22.022286881380865,-10.063546103383384,-11.95874077799748
65,TRENT,2021-04-09,735.0,736.0,723.25,344873,729.2,-5.7999999999999545,729.9487356811941,741.253768384003,750.6162716225289,768.9018821295737,772.4261959329299,773.0044330049334,772.4793392529787,,,-22.38816138240452,-12.528469159187612,-9.859692223216907
66,TRENT,2021-04-12,709.05,719.8,689.0,921660,710.75,1.7000000000000455,723.5491571207858,735.1530127464952,744.4829145755594,763.6064226881775,767.6595295436396,768.3662662444319,769.8804569598728,,,-23.88335166887248,-14.799445661124587,-9.083906007747892
67,TRENT,2021-04-13,711.7,732.8,711.7,437329,729.25,17.549999999999955,725.4494380805261,733.9724098936512,742.1393619394727,760.4783188531933,764.6921106255376,765.4532221543132,768.1747857888837,,,-23.313860214840474,-16.502328571867764,-6.81153164297271
68,TRENT,2021-04-15,727.0,746.0,714.8,871200,740.1,13.100000000000023,730.3329587203541,735.1979281669954,741.8256108542938,758.6231604523808,762.7928239417591,763.5658815073638,766.9994522347733,,,-21.740270653069956,-17.549916988108205,-4.190353664961751
69,TRENT,2021-04-16,740.1,755.8,731.0,692021,743.65,3.5499999999999545,734.7719724802381,736.8883428117549,742.1062884498792,757.2602382768973,761.3148499913743,762.0838515811568,766.0245241369821,,,-19.97756313127752,-18.035446216742066,-1.942116914535454
