,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,TRIDENT,2021-01-04,11.3,12.9,11.15,155327472,12.9,1.5999999999999996,,,,,,,,,,,,
1,TRIDENT,2021-01-05,13.8,15.45,13.4,195279306,15.45,1.6499999999999986,,,,,,,,,,,,
2,TRIDENT,2021-01-06,16.7,16.95,14.7,270244231,16.0,-0.6999999999999993,,,,,,,,,,,,
3,TRIDENT,2021-01-07,16.55,16.55,14.4,111230139,14.5,-2.0500000000000007,,,,,,,,,,,,
4,TRIDENT,2021-01-08,14.25,15.0,13.4,83660792,14.6,0.34999999999999964,14.781042654028434,,,,,,,,,,,
5,TRIDENT,2021-01-11,15.5,15.85,14.5,56942526,14.7,-0.8000000000000007,14.751428571428571,,,,,,,,,,,
6,TRIDENT,2021-01-12,14.85,14.9,14.25,38423097,14.35,-0.5,14.609300631374454,,,,,,,,,,,
7,TRIDENT,2021-01-13,14.35,14.75,13.95,57152871,14.35,0.0,14.519357652656623,,,,,,,,,,,
8,TRIDENT,2021-01-14,14.6,14.65,14.3,22772377,14.35,-0.25,14.461397423191281,14.523416969203083,,,,,,,,,,
9,TRIDENT,2021-01-15,14.55,14.95,14.4,41989614,14.7,0.14999999999999858,14.542335200344679,14.562981818732466,,,,,,,,,,
10,TRIDENT,2021-01-18,15.2,15.35,14.8,50813882,14.9,-0.29999999999999893,14.662951244724413,14.63671947109346,,,,,,,,,,
11,TRIDENT,2021-01-19,15.5,15.65,15.05,29655987,15.15,-0.34999999999999964,14.826561833334916,14.746950602548365,14.724172423803433,,,,,,,,,
12,TRIDENT,2021-01-20,15.2,15.25,14.6,28330068,14.8,-0.3999999999999986,14.817662160313366,14.758177698146508,14.737338971681574,,,,,,,,,
13,TRIDENT,2021-01-21,14.85,15.05,14.35,26219001,14.45,-0.40000000000000036,14.694686856523067,14.693706693758024,14.688414319022684,,,,,,,,,
14,TRIDENT,2021-01-22,14.25,14.45,13.8,21785720,14.15,-0.09999999999999964,14.512708995770437,14.580999834949123,14.598220703254906,,,,,,,,,
15,TRIDENT,2021-01-25,14.3,14.35,13.8,16480834,13.85,-0.45000000000000107,14.291469173081198,14.430565518384137,14.474571332654824,,,,,,,,,
16,TRIDENT,2021-01-27,13.8,14.05,13.05,21225172,13.25,-0.5500000000000007,13.943960074488082,14.189013138670978,14.274484600637887,,,,,,,,,
17,TRIDENT,2021-01-28,13.0,14.55,12.7,42212952,14.55,1.5500000000000007,14.1461101657256,14.262534962368006,14.319076244396431,,,,,,,,,
18,TRIDENT,2021-01-29,15.0,15.05,14.25,21118394,14.5,-0.5,14.264126680239437,14.31072242440991,14.348125956174192,,,,,,,,,
19,TRIDENT,2021-02-01,14.75,14.8,14.2,14745563,14.45,-0.3000000000000007,14.326103091576082,14.338902837571354,14.364374046396057,,,,,,,,,
20,TRIDENT,2021-02-02,14.65,14.7,14.25,13175404,14.3,-0.34999999999999964,14.317400316268087,14.331049838929001,14.354164544802872,14.403048089598055,,,,,,,,
21,TRIDENT,2021-02-03,14.45,14.45,14.1,9102342,14.15,-0.29999999999999893,14.261592751763578,14.294570702626642,14.321937842168763,14.376821941067032,,,,,,,,
22,TRIDENT,2021-02-04,14.25,14.8,14.0,20836572,14.5,0.25,14.341068916215844,14.335900530342752,14.349932374947246,14.389427738679458,,,,,,,,
23,TRIDENT,2021-02-05,14.5,14.65,14.05,12066613,14.1,-0.40000000000000036,14.260707837105945,14.288496565378903,14.31077060583479,14.360142972693358,,,,,,,,
24,TRIDENT,2021-02-08,14.25,14.35,14.1,7637911,14.15,-0.09999999999999964,14.223803763257438,14.260692210419974,14.285650969107136,14.339096567069808,14.354102141851222,,,,,,,
25,TRIDENT,2021-02-09,14.3,14.35,13.9,12117596,13.95,-0.3500000000000014,14.132533432505408,14.19836539710129,14.233332628194194,14.300484378732166,14.318585139316532,14.3223905820364,,,,-0.0890579538422056,-0.0890579538422056,0.0
26,TRIDENT,2021-02-10,14.0,14.1,13.8,8822533,13.9,-0.09999999999999964,14.05502092404348,14.138547687333412,14.181480655980558,14.261070292723092,14.282194346386255,14.28662501297785,,,,-0.10514435699729319,-0.09227523447322312,-0.012869122524070062
27,TRIDENT,2021-02-11,14.0,14.05,13.9,7218876,13.95,-0.05000000000000071,14.020013538586927,14.100765067651583,14.145533866494493,14.230684094435121,14.253600516739292,14.25842054161578,,,,-0.11288667512128825,-0.09639752260283616,-0.016489152518452094
28,TRIDENT,2021-02-12,14.0,14.5,14.0,14002247,14.1,0.09999999999999964,14.046675900961416,14.100611816977334,14.138473080725046,14.21800440189435,14.240499169651063,14.24527478526472,,,,-0.10680170453967364,-0.09847835899020366,-0.00832334554946998
29,TRIDENT,2021-02-15,14.25,14.3,13.9,7039372,13.95,-0.3000000000000007,14.014450432582063,14.070452117682537,14.109282812388043,14.192159215093122,14.215926776718295,14.220989135895234,,,,-0.11170632350719067,-0.10112395189360107,-0.010582371613589603
30,TRIDENT,2021-02-16,13.95,14.0,13.45,14539801,13.55,-0.3999999999999986,13.859633083463248,13.96625850579083,14.022751660001537,14.130572518748178,14.160026570029633,14.166249292881822,,,,-0.14349763288028505,-0.10959868809093787,-0.033898944789347185
31,TRIDENT,2021-02-17,13.6,14.05,13.4,12237871,13.95,0.34999999999999964,13.889755458793745,13.963004226326841,14.011505469853862,14.113340693944425,14.14251911947323,14.14873894425011,,,,-0.13723347439624867,-0.11512564535200004,-0.022107829044248628
32,TRIDENT,2021-02-18,14.2,14.2,13.8,6050237,13.85,-0.34999999999999964,13.87650361871891,13.940389046988642,13.986557814306968,14.08832347014987,14.118291144673583,14.124714902611226,,,,-0.13815708830425777,-0.1197319339424516,-0.018425154361806168
33,TRIDENT,2021-02-19,13.85,15.2,13.7,33480446,14.0,0.15000000000000036,13.917669121552265,13.952317285926615,13.98863292753681,14.079966969330554,14.108551136181179,14.114748783452315,,,,-0.12611585591550423,-0.12100871833706213,-0.0051071375784420975
34,TRIDENT,2021-02-22,14.2,14.2,13.7,9099256,13.8,-0.3999999999999986,13.87844605409795,13.921841466280151,13.95952839820607,14.053576339791286,14.083282117980138,14.089742789807213,,,,-0.13021439160114312,-0.12284985298987834,-0.007364538611264779
35,TRIDENT,2021-02-23,13.95,14.3,13.85,10585803,14.05,0.10000000000000142,13.935630728913456,13.947481493688732,13.973481212725344,14.053240348962843,14.080569941576272,14.086602201434065,,,,-0.11312098870872056,-0.12090408013364679,0.007783091424926225
36,TRIDENT,2021-02-24,14.1,14.15,13.9,4260862,14.05,-0.049999999999998934,13.97375383091185,13.967990519398477,13.985277733249934,14.052936846271214,14.078090108226816,14.083724034685293,,,,-0.09844630143535937,-0.11641252439398932,0.017966222958629943
37,TRIDENT,2021-02-25,14.15,14.2,13.95,7004646,13.95,-0.20000000000000107,13.965835885663385,13.964391668066602,13.97984087436812,14.043321896798115,14.06774286642401,14.073256546144062,,,,-0.09341567177594179,-0.11181315387037981,0.01839748209443802
38,TRIDENT,2021-02-26,13.8,14.0,13.75,8083886,13.8,0.0,13.910557249610013,13.931507870695272,13.952132013655955,14.02065071440112,14.046197460502263,14.051956418572086,,,,-0.09982440491613076,-0.10941540407953002,0.009590999163399255
39,TRIDENT,2021-03-01,14.0,14.05,13.75,8249167,13.75,-0.25,13.85703816156653,13.895201470607875,13.92099576506813,13.995490183887037,14.02244655361986,14.028510016694685,,,,-0.10751425162655615,-0.10903517358893525,0.0015209219623791015
