,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,UNIONBANK,2021-01-04,32.6,32.7,32.15,8265267,32.4,-0.20000000000000284,,,,,,,,,,,,
1,UNIONBANK,2021-01-05,32.2,32.2,31.8,5789215,32.05,-0.15000000000000568,,,,,,,,,,,,
2,UNIONBANK,2021-01-06,32.35,32.55,31.75,6726368,31.85,-0.5,,,,,,,,,,,,
3,UNIONBANK,2021-01-07,32.15,32.2,31.8,3617734,31.9,-0.25,,,,,,,,,,,,
4,UNIONBANK,2021-01-08,32.15,32.3,31.55,5371701,31.8,-0.34999999999999787,31.908056872037914,,,,,,,,,,,
5,UNIONBANK,2021-01-11,31.9,32.1,31.25,3954196,31.35,-0.5499999999999972,31.704135338345864,,,,,,,,,,,
6,UNIONBANK,2021-01-12,31.2,33.5,30.8,18635584,33.0,1.8000000000000007,32.16294317629917,,,,,,,,,,,
7,UNIONBANK,2021-01-13,33.3,33.85,32.3,19044455,33.2,-0.09999999999999432,32.5226645519429,,,,,,,,,,,
8,UNIONBANK,2021-01-14,33.0,33.75,32.95,10758845,33.2,0.20000000000000284,32.75447290177873,32.55228320128966,,,,,,,,,,
9,UNIONBANK,2021-01-15,33.2,33.6,32.5,7652331,32.6,-0.6000000000000014,32.702073244291256,32.56297453415715,,,,,,,,,,
10,UNIONBANK,2021-01-18,32.8,32.85,31.65,7137456,31.85,-0.9499999999999957,32.41472681168939,32.40697977997448,,,,,,,,,,
11,UNIONBANK,2021-01-19,32.0,32.35,31.85,5091921,32.25,0.25,32.35939138514635,32.373267106713726,32.36294273094784,,,,,,,,,
12,UNIONBANK,2021-01-20,32.3,32.75,31.9,6877754,32.4,0.10000000000000142,32.37299750146741,32.3789247157151,32.36937728064179,,,,,,,,,
13,UNIONBANK,2021-01-21,32.6,32.75,31.7,5127195,31.85,-0.75,32.198065774553484,32.26827327054844,32.28094391253439,,,,,,,,,
14,UNIONBANK,2021-01-22,31.65,31.8,31.05,3799473,31.1,-0.5499999999999972,31.831206067501864,32.02609782546827,32.083115590130625,,,,,,,,,
15,UNIONBANK,2021-01-25,31.3,31.6,30.15,6960168,30.4,-0.9000000000000021,31.3534099629873,31.691459015243158,31.804967468244275,,,,,,,,,
16,UNIONBANK,2021-01-27,30.4,30.5,29.8,5405010,30.05,-0.34999999999999787,30.918498557981476,31.355604439483315,31.518217569603614,,,,,,,,,
17,UNIONBANK,2021-01-28,29.25,30.2,29.2,5402849,29.5,0.25,30.445345551314418,30.977675387027404,31.191572891667793,,,,,,,,,
18,UNIONBANK,2021-01-29,29.9,31.55,29.75,10458436,31.05,1.1500000000000021,30.646987993701803,30.99235181930167,31.168841483706615,,,,,,,,,
19,UNIONBANK,2021-02-01,31.7,32.45,31.1,14589144,32.3,0.5999999999999979,31.198157748342854,31.25693185557644,31.349252164756933,,,,,,,,,
20,UNIONBANK,2021-02-02,32.85,34.1,32.6,21319402,33.05,0.19999999999999574,31.815562279720098,31.61888390285268,31.618984901871062,31.685615423001153,,,,,,,,
21,UNIONBANK,2021-02-03,33.1,34.0,32.5,13633258,33.65,0.5499999999999972,32.42712325933064,32.02812680189116,31.93957396240547,31.8892061387827,,,,,,,,
22,UNIONBANK,2021-02-04,33.6,34.9,33.2,29593973,34.55,0.9499999999999957,33.134811897999946,32.53549642313014,32.349979284711544,32.161506491568275,,,,,,,,
