,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,VBL,2021-01-04,910.0,961.0,905.6,586508,951.25,41.25,,,,,,,,,,,,
1,VBL,2021-01-05,955.0,977.7,952.25,281957,966.45,11.450000000000045,,,,,,,,,,,,
2,VBL,2021-01-06,968.0,975.0,953.0,171532,960.1,-7.899999999999977,,,,,,,,,,,,
3,VBL,2021-01-07,972.5,992.0,961.3,307737,985.5,13.0,,,,,,,,,,,,
4,VBL,2021-01-08,985.6,1015.1,972.85,253110,990.1,4.5,978.1682464454975,,,,,,,,,,,
5,VBL,2021-01-11,999.0,1066.4,984.0,544461,996.25,-2.75,984.7755639097744,,,,,,,,,,,
6,VBL,2021-01-12,1004.25,1008.0,966.0,292668,968.4,-35.85000000000002,978.9777076250607,,,,,,,,,,,
7,VBL,2021-01-13,994.0,994.0,922.8,453061,937.7,-56.299999999999955,964.6598096748612,,,,,,,,,,,
8,VBL,2021-01-14,933.0,933.0,907.0,437195,911.0,-22.0,946.2955088414793,954.8466653380493,,,,,,,,,,
9,VBL,2021-01-15,913.6,928.7,891.0,374973,895.65,-17.950000000000045,929.1157492460146,941.5831759406194,,,,,,,,,,
10,VBL,2021-01-18,895.65,906.0,865.5,252811,876.4,-19.25,911.3383074717732,927.3214694973125,,,,,,,,,,
11,VBL,2021-01-19,886.4,898.6,868.65,175775,874.1,-12.299999999999955,898.8291257146652,915.8917298715379,922.4868995642786,,,,,,,,,
12,VBL,2021-01-20,879.95,926.0,879.95,346394,916.9,36.94999999999993,904.8838611060501,916.1051148610906,921.5168015564936,,,,,,,,,
13,VBL,2021-01-21,928.2,942.95,902.1,474750,923.65,-4.550000000000068,911.1607421141133,917.6835104615079,921.880017142219,,,,,,,,,
14,VBL,2021-01-22,930.0,930.0,900.0,133684,904.0,-26.0,908.7683647036399,914.8470078042837,918.8848081756859,,,,,,,,,
15,VBL,2021-01-25,912.6,917.15,885.4,139916,892.75,-19.850000000000023,903.420768414133,910.2996083272374,914.565825063324,,,,,,,,,
16,VBL,2021-01-27,895.0,923.0,890.0,309589,900.6,5.600000000000023,902.4795569848641,908.314997191943,912.2839030369587,,,,,,,,,
17,VBL,2021-01-28,892.0,899.85,854.05,180834,862.3,-29.700000000000045,889.077302828898,898.943169922358,904.1941033268664,,,,,,,,,
18,VBL,2021-01-29,866.0,909.45,865.0,505026,898.6,32.60000000000002,892.2529677394443,898.8735323547716,903.2958957434657,,,,,,,,,
19,VBL,2021-02-01,897.95,916.0,875.0,193468,901.9,3.949999999999932,895.4696124968967,899.485885838819,903.0732616049904,,,,,,,,,
20,VBL,2021-02-02,909.4,911.6,866.0,528139,870.1,-39.299999999999955,887.0113792424972,893.553996650187,897.8438161104893,906.3298685866494,,,,,,,,
21,VBL,2021-02-03,874.95,904.9,872.05,327110,897.0,22.049999999999955,890.3413645714538,894.2483205260869,897.7106225097255,905.3629119907034,,,,,,,,
22,VBL,2021-02-04,900.0,910.0,880.1,286341,902.9,2.8999999999999773,894.5279494257256,895.9889311725905,898.5264847907446,905.1108624750594,,,,,,,,
23,VBL,2021-02-05,907.0,910.1,891.7,120319,901.25,-5.75,896.7687660621447,897.0461374535793,898.9532309208594,904.7202141750641,,,,,,,,
24,VBL,2021-02-08,902.3,909.55,882.0,183505,887.3,-15.0,893.6123857087175,895.0895180638026,897.1324694333007,902.975531072515,904.8803686340909,,,,,,,
25,VBL,2021-02-09,895.0,901.5,883.0,109818,896.4,1.3999999999999773,894.5416150054501,895.3524089901135,897.0182984966826,902.3230050271068,904.1350192704566,904.5345018651976,,,,-7.516203368514994,-7.516203368514994,0.0
26,VBL,2021-02-10,903.45,910.0,880.45,193969,890.95,-12.5,893.3443889313223,894.4697931579541,896.0743367647074,901.2037189272618,902.9887451651782,903.3842455378824,,,,-7.309908773175039,-7.474944449447003,0.16503567627196425
27,VBL,2021-02-11,886.9,925.0,884.8,643694,904.45,17.550000000000068,897.046302725671,896.4697029144296,897.3749992405841,901.5208245547752,903.1145235604829,903.4735408666518,,,,-6.098541626067686,-7.199663884771139,1.1011222587034535
28,VBL,2021-02-12,908.0,921.9,905.0,151122,912.65,4.649999999999977,902.2475758381478,899.7107776517784,899.7436429841022,902.6006386169817,903.927851465478,904.2350045928965,,,,-4.491361608794364,-6.658003429575784,2.16664182078142
29,VBL,2021-02-15,921.65,962.95,916.0,636320,944.95,23.300000000000068,916.4817914582194,908.7698366933286,906.7450974451637,906.6846280892452,907.3977834241388,907.5837162062185,,,,-0.8386187610548177,-5.4941264958715905,4.655507734816773
30,VBL,2021-02-16,958.0,960.0,893.0,1117650,901.6,-56.39999999999998,911.5211770587625,907.3344478143707,905.9490579438426,906.1969835319466,906.911097345314,907.0955597395296,,,,-1.1465017956869588,-4.624601555834665,3.478099760147706
31,VBL,2021-02-17,906.3,950.0,906.0,973921,945.35,39.05000000000007,922.7974775089433,914.9435868325238,912.0397847582096,909.9333102166116,910.1152975928079,910.1931355824147,,,,1.846649175794937,-3.3303514095087445,5.177000585303682
32,VBL,2021-02-18,955.0,958.0,936.0,252316,948.6,-6.399999999999977,931.3983316294501,921.679138629158,917.687219841354,913.6066248768586,913.3028034275459,913.2817456473101,,,,4.405474194043904,-1.783186288798215,6.18866048284212
33,VBL,2021-02-19,955.0,982.0,944.85,423112,974.05,19.049999999999955,945.6155690654101,932.1586246340162,926.3881226148259,919.3253213103409,918.3046842711047,918.1378105704072,,,,8.250312044418706,0.223513377845169,8.026798666573537
34,VBL,2021-02-22,981.0,1075.0,976.6,1867081,1025.1,44.09999999999991,972.1103975725678,950.7544430673406,941.6185639177559,929.2959988035069,927.050763803785,926.6356856052378,,,,14.982878312518096,3.175386364779755,11.807491947738342
35,VBL,2021-02-23,1062.0,1130.0,1011.75,908037,1032.5,-29.5,992.2402742646614,967.1088617661745,955.6345843679003,938.9918330598347,935.6438746865666,935.0013850574529,,,,20.633199310447367,6.666948953913278,13.96625035653409
36,VBL,2021-02-24,1034.6,1068.0,1020.0,194184,1047.6,13.0,1010.6935218088762,983.2112698370818,969.8124346932386,949.1644630380856,944.7257544322515,943.8554314477872,,,,25.95700324545146,10.524959812220915,15.432043433230545
37,VBL,2021-02-25,1053.0,1057.55,1020.65,412338,1042.6,-10.400000000000091,1021.3290167034135,995.0914832934657,981.0301543273197,957.891930406898,952.6321298672942,951.5848395699818,,,,29.445314757337883,14.309030801244308,15.136283956093575
38,VBL,2021-02-26,1025.55,1059.9,1015.05,362246,1042.95,17.40000000000009,1028.5360121132853,1004.6647772710684,990.5704125422074,965.8170988173749,959.9000552465469,958.70668020017,,,,31.863732342037338,17.819971109402914,14.043761232634424
39,VBL,2021-03-01,1070.0,1070.0,1008.1,387264,1044.95,-25.049999999999955,1034.0073419036714,1012.7228929241464,998.9469993211388,973.1735389408708,966.7198750882417,965.4033271693927,,,,33.54367215174614,20.96471131787156,12.578960833874575
40,VBL,2021-03-02,1059.9,1061.0,1035.45,245382,1054.95,-4.9500000000000455,1040.9882283566712,1021.1692125060732,1007.5719905288486,980.7601495984256,973.7716910966013,972.3317102875786,,,,35.24028024126994,23.81982510255124,11.420455138718705
41,VBL,2021-03-03,1060.8,1065.0,1031.6,245955,1048.35,-12.450000000000045,1043.4421523364151,1026.6058325013385,1013.8511638976148,987.0189691963654,979.7145405645307,978.1940465715503,,,,35.65711732606451,26.18728354725389,9.469833778810617
42,VBL,2021-03-04,1039.0,1060.0,1036.3,223324,1050.05,11.049999999999955,1045.6447682832988,1031.2949851282617,1019.4244465019464,992.8457895604067,985.3038511853488,983.7185809078633,,,,35.70586559408309,28.090999956619733,7.61486563746336
43,VBL,2021-03-05,1050.05,1055.55,1029.05,225217,1043.5,-6.5499999999999545,1044.9298455094279,1033.7361210106887,1023.1307585529484,997.5212761735504,989.9167612128889,988.3019069313787,,,,34.8288516215697,29.43857028960973,5.390281331959969
