,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,VEDL,2021-01-04,161.6,171.5,161.0,32854053,170.25,8.650000000000006,,,,,,,,,,,,
1,VEDL,2021-01-05,168.5,170.45,166.9,18873277,169.0,0.5,,,,,,,,,,,,
2,VEDL,2021-01-06,170.75,183.95,170.55,49999500,180.3,9.550000000000011,,,,,,,,,,,,
3,VEDL,2021-01-07,181.5,187.35,181.5,32949315,185.5,4.0,,,,,,,,,,,,
4,VEDL,2021-01-08,188.0,189.75,176.65,25476849,182.05,-5.949999999999989,180.25521327014218,,,,,,,,,,,
5,VEDL,2021-01-11,179.25,182.65,175.45,26443871,179.15,-0.09999999999999432,179.85135338345864,,,,,,,,,,,
6,VEDL,2021-01-12,179.4,184.15,178.75,14828511,181.1,1.6999999999999886,180.2934434191355,,,,,,,,,,,
7,VEDL,2021-01-13,182.75,184.2,176.4,16787140,180.5,-2.25,180.36509119746236,,,,,,,,,,,
8,VEDL,2021-01-14,178.9,180.5,175.65,13052552,176.4,-2.5,179.00809556100364,179.04057112409896,,,,,,,,,,
9,VEDL,2021-01-15,176.8,178.95,173.35,16324499,175.6,-1.200000000000017,177.85201551055582,178.26968346742117,,,,,,,,,,
10,VEDL,2021-01-18,175.5,175.8,167.05,17040380,168.7,-6.800000000000011,174.7656622824802,176.175891405309,,,,,,,,,,
11,VEDL,2021-01-19,170.0,176.0,170.0,10954431,174.0,4.0,174.50845916809678,175.70860118481068,176.09834332384835,,,,,,,,,
12,VEDL,2021-01-20,171.55,175.25,171.5,11709839,173.7,2.1499999999999773,174.23758094381864,175.28351138919194,175.68189981100528,,,,,,,,,
13,VEDL,2021-01-21,174.95,175.25,167.55,10895884,169.05,-5.899999999999977,172.50244360480303,173.97945615565197,174.5526990178683,,,,,,,,,
14,VEDL,2021-01-22,170.2,173.0,164.3,13618435,165.55,-4.649999999999977,170.17965795456445,172.23208475912892,173.04459281154664,,,,,,,,,
15,VEDL,2021-01-25,165.9,167.7,162.45,13087676,165.2,-0.700000000000017,168.51724104163253,170.7849341385816,171.74821199831592,,,,,,,,,
16,VEDL,2021-01-27,165.25,165.8,162.0,10420167,162.95,-2.3000000000000114,166.65960860657486,169.1818490436852,170.31064324311836,,,,,,,,,
17,VEDL,2021-01-28,160.35,164.2,160.35,9315988,162.75,2.4000000000000057,165.35552334213537,167.87188094763115,169.08696750352945,,,,,,,,,
18,VEDL,2021-01-29,163.8,165.3,160.3,14514240,161.25,-2.5500000000000114,163.98639795856099,166.52813940154093,167.82863828949272,,,,,,,,,
19,VEDL,2021-02-01,161.05,172.5,161.0,17122983,171.35,10.299999999999983,166.4416703431477,167.50375965696077,168.39026714633843,,,,,,,,,
20,VEDL,2021-02-02,173.05,176.25,171.7,12556627,173.25,0.19999999999998863,168.71156864441454,168.6637063454192,169.1610040052063,170.36759470958367,,,,,,,,
21,VEDL,2021-02-03,173.25,176.9,172.8,9859693,173.9,0.6500000000000057,170.44127695088122,169.7187499238868,169.90903895346784,170.73369660731143,,,,,,,,
22,VEDL,2021-02-04,174.5,180.0,174.05,15430260,176.4,1.9000000000000057,172.4276949666105,171.0629346049653,170.92953327968632,171.31357482911147,,,,,,,,
23,VEDL,2021-02-05,178.5,179.35,172.55,12315157,174.45,-4.050000000000011,173.1018366905773,171.74356185528652,171.4811533124976,171.6309233928029,,,,,,,,
24,VEDL,2021-02-08,176.1,179.1,175.4,10896506,178.0,1.9000000000000057,174.73462245550914,172.99959464193566,172.4996918682434,172.26880420320788,172.31712037855195,,,,,,,
25,VEDL,2021-02-09,178.3,188.25,178.3,22888866,181.75,3.4499999999999886,177.0731433772761,174.7549810434089,173.94154909175856,173.20967531016396,173.14618702959615,173.13851484347884,,,,0.8030342482797153,0.8030342482797153,0.0
26,VEDL,2021-02-10,184.0,187.7,180.75,19580392,186.1,2.0999999999999943,180.08214854618763,177.029484246024,175.83287206866115,174.47829000025126,174.2723606109928,174.2360177523552,,,,1.5968543163059508,0.9617982618849625,0.6350560544209882
27,VEDL,2021-02-11,185.5,190.4,183.65,10165976,187.45,1.9499999999999886,182.53812784916414,179.1176264512623,177.63690381555406,175.74540216559484,175.40663390594003,175.34316478396067,,,,2.2937390315933897,1.228186415826648,1.0655526157667417
28,VEDL,2021-02-12,187.0,187.4,180.95,9635055,182.35,-4.650000000000006,182.47541807555328,179.76510308256786,178.36774802078304,176.3862167211663,175.99886791068187,175.92459284627273,,,,2.4431551745103093,1.4711801675633804,0.9719750069469288
29,VEDL,2021-02-15,183.0,186.45,182.2,8000109,184.05,1.0500000000000114,183.00028145424795,180.62314467009088,179.24780186928876,177.12527887479337,176.67988734867188,176.59288827469143,,,,2.654913594597332,1.7079268529701706,0.9469867416271613
30,VEDL,2021-02-16,184.45,192.95,184.1,24155607,190.25,5.800000000000011,185.4168627046326,182.55042442148962,180.95004063284043,178.38401377347884,177.81900973947882,177.70704662967375,,,,3.2429940031666717,2.014940283009471,1.2280537201572006
31,VEDL,2021-02-17,190.2,195.3,186.35,17142487,192.85,2.6500000000000057,187.89458087932653,184.61197286414216,182.78957537046503,179.76448596269694,179.07196701418312,178.93321661753603,,,,3.8563587529289975,2.3832239769933765,1.473134775935621
