,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,WHIRLPOOL,2021-01-04,2633.8,2633.8,2575.0,111052,2599.7,-34.100000000000364,,,,,,,,,,,,
1,WHIRLPOOL,2021-01-05,2580.0,2628.95,2540.0,83186,2594.35,14.349999999999909,,,,,,,,,,,,
2,WHIRLPOOL,2021-01-06,2607.35,2610.0,2522.1,50559,2543.3,-64.04999999999973,,,,,,,,,,,,
3,WHIRLPOOL,2021-01-07,2543.3,2579.95,2470.1,123615,2485.5,-57.80000000000018,,,,,,,,,,,,
4,WHIRLPOOL,2021-01-08,2490.0,2528.0,2485.0,56682,2493.7,3.699999999999818,2519.5502369668247,,,,,,,,,,,
5,WHIRLPOOL,2021-01-11,2503.0,2547.95,2432.0,105722,2451.05,-51.94999999999982,2494.519323308271,,,,,,,,,,,
6,WHIRLPOOL,2021-01-12,2459.9,2527.0,2455.35,69257,2511.85,51.94999999999982,2500.655342399223,,,,,,,,,,,
7,WHIRLPOOL,2021-01-13,2528.65,2536.9,2441.05,123938,2472.55,-56.09999999999991,2490.9065107057895,,,,,,,,,,,
8,WHIRLPOOL,2021-01-14,2491.6,2504.0,2420.0,48810,2435.4,-56.19999999999982,2471.9102029106466,2485.3298240488807,,,,,,,,,,
9,WHIRLPOOL,2021-01-15,2450.0,2469.9,2382.95,49259,2422.1,-27.90000000000009,2455.013792330892,2471.162672975683,,,,,,,,,,
10,WHIRLPOOL,2021-01-18,2439.95,2523.0,2363.15,94052,2484.75,44.80000000000018,2465.041795498547,2474.1355024914856,,,,,,,,,,
11,WHIRLPOOL,2021-01-19,2508.0,2534.75,2483.15,76588,2516.55,8.550000000000182,2482.3445553669803,2483.2443577609715,2485.655835410476,,,,,,,,,
12,WHIRLPOOL,2021-01-20,2516.55,2550.0,2495.25,72542,2541.7,25.149999999999636,2502.2318892953986,2495.6156025855094,2495.3872314720566,,,,,,,,,
13,WHIRLPOOL,2021-01-21,2590.0,2720.0,2560.05,407198,2681.45,91.44999999999982,2562.1765993788003,2534.4922971785913,2527.067780301574,,,,,,,,,
14,WHIRLPOOL,2021-01-22,2705.75,2787.0,2577.8,216222,2672.55,-33.19999999999982,2599.051943603649,2563.1107604015197,2551.438542669747,,,,,,,,,
15,WHIRLPOOL,2021-01-25,2697.5,2725.0,2605.0,115511,2670.35,-27.15000000000009,2622.8541998818787,2585.1797964623406,2571.089598557485,,,,,,,,,
16,WHIRLPOOL,2021-01-27,2684.95,2684.95,2490.2,239033,2537.45,-147.5,2594.3572099717376,2575.4139293934095,2565.5931140634893,,,,,,,,,
17,WHIRLPOOL,2021-01-28,2547.0,2626.8,2454.8,208883,2555.15,8.150000000000091,2581.2792909447685,2571.286795683373,2563.9029158998765,,,,,,,,,
18,WHIRLPOOL,2021-01-29,2590.0,2623.95,2526.85,162829,2553.05,-36.94999999999982,2571.865280702487,2567.5861039583015,2562.160336116542,,,,,,,,,
19,WHIRLPOOL,2021-02-01,2584.0,2599.9,2475.1,114642,2555.3,-28.699999999999818,2566.341859417244,2565.10022290945,2561.066167710265,,,,,,,,,
20,WHIRLPOOL,2021-02-02,2590.0,2650.0,2556.8,94409,2616.15,26.15000000000009,2582.9479022201613,2575.4052251975036,2569.8022734082165,2559.233052063389,,,,,,,,
21,WHIRLPOOL,2021-02-03,2650.0,2662.0,2545.0,162833,2579.05,-70.94999999999982,2581.648427796018,2576.139598879349,2571.2619966682114,2561.286899697025,,,,,,,,
22,WHIRLPOOL,2021-02-04,2589.0,2740.0,2431.0,526087,2445.25,-143.75,2536.178233585326,2549.806234355971,2551.4506733967405,2549.4119141206575,,,,,,,,
23,WHIRLPOOL,2021-02-05,2479.8,2548.4,2370.0,270173,2422.65,-57.15000000000009,2498.3332409435175,2524.2543219902477,2531.268965308077,2536.5859389466445,,,,,,,,
24,WHIRLPOOL,2021-02-08,2451.2,2467.45,2370.0,219314,2374.75,-76.44999999999982,2457.1371958446257,2494.240066942562,2506.813627038296,2520.377617669541,2522.545842994135,,,,,,,
25,WHIRLPOOL,2021-02-09,2395.9,2400.35,2251.95,583944,2333.5,-62.40000000000009,2415.9237091352325,2461.994597602924,2479.7990128741594,2501.832725783483,2505.930386184042,2506.718044456195,,,,-26.919031582035586,-26.919031582035586,0.0
26,WHIRLPOOL,2021-02-10,2350.0,2488.0,2333.5,539916,2472.6,122.59999999999991,2434.816138614782,2464.120818970157,2478.679161458657,2498.955756719278,2503.0327219623973,2503.8291275933766,,,,-25.14996613471976,-26.56521849257242,1.4152523578526583
