,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,YESBANK,2021-01-04,18.4,18.6,17.9,214860840,18.0,-0.3999999999999986,,,,,,,,,,,,
1,YESBANK,2021-01-05,17.95,18.25,17.75,172429356,18.0,0.05000000000000071,,,,,,,,,,,,
2,YESBANK,2021-01-06,18.2,18.4,17.8,196901365,18.0,-0.1999999999999993,,,,,,,,,,,,
3,YESBANK,2021-01-07,18.2,18.35,17.85,157589035,18.0,-0.1999999999999993,,,,,,,,,,,,
4,YESBANK,2021-01-08,18.2,18.3,17.8,183783931,18.05,-0.14999999999999858,18.01919431279621,,,,,,,,,,,
5,YESBANK,2021-01-11,18.3,18.55,17.85,189373243,17.95,-0.3500000000000014,17.99390977443609,,,,,,,,,,,
6,YESBANK,2021-01-12,17.85,18.5,17.6,320993651,18.05,0.1999999999999993,18.013768819815443,,,,,,,,,,,
7,YESBANK,2021-01-13,18.15,18.3,17.15,280118603,17.8,-0.34999999999999787,17.939619349722438,,,,,,,,,,,
8,YESBANK,2021-01-14,17.85,18.1,17.6,141291865,17.85,0.0,17.90894841166345,17.93459787543444,,,,,,,,,,
9,YESBANK,2021-01-15,17.8,17.85,17.25,163516334,17.6,-0.1999999999999993,17.804148211977594,17.859628527957117,,,,,,,,,,
10,YESBANK,2021-01-18,18.1,18.1,17.45,210883697,17.7,-0.40000000000000213,17.76902609380979,17.824702718147304,,,,,,,,,,
11,YESBANK,2021-01-19,17.85,18.0,17.6,128056245,17.9,0.04999999999999716,17.813023163204356,17.840873416443188,17.85513649056034,,,,,,,,,
12,YESBANK,2021-01-20,17.95,18.0,17.4,196996362,17.65,-0.3000000000000007,17.758401449817196,17.800477970000927,17.819517002769842,,,,,,,,,
13,YESBANK,2021-01-21,17.7,17.8,17.15,229436846,17.25,-0.4499999999999993,17.588351796936383,17.685317567956453,17.722546440855513,,,,,,,,,
14,YESBANK,2021-01-22,17.35,17.5,16.75,220887609,17.0,-0.3500000000000014,17.391785641366013,17.543255696624588,17.601507542448818,,,,,,,,,
15,YESBANK,2021-01-25,17.4,17.5,16.25,326357534,16.35,-1.0499999999999972,17.043994269818295,17.297692569758095,17.394686053479226,,,,,,,,,
16,YESBANK,2021-01-27,16.2,16.2,15.7,224836150,15.75,-0.4499999999999993,16.612224617953476,16.981023297728925,17.125955397404617,,,,,,,,,
17,YESBANK,2021-01-28,15.2,15.4,15.0,312839641,15.05,-0.14999999999999858,16.091130485770623,16.587733763789142,16.789965961772293,,,,,,,,,
18,YESBANK,2021-01-29,15.1,15.8,15.0,183110147,15.75,0.6500000000000004,15.977369006841435,16.41773710092725,16.62298561501029,,,,,,,,,
19,YESBANK,2021-02-01,16.0,16.5,15.45,186599301,16.4,0.3999999999999986,16.118288383056107,16.414148304738784,16.587421203754957,,,,,,,,,
20,YESBANK,2021-02-02,16.55,16.85,16.1,180587323,16.55,0.0,16.26222111183516,16.44157157885063,16.58148632998604,16.838892708949835,,,,,,,,
21,YESBANK,2021-02-03,16.65,16.65,16.2,88995339,16.25,-0.3999999999999986,16.258146863337533,16.402972451793186,16.529162301864275,16.77785929953629,,,,,,,,
22,YESBANK,2021-02-04,16.25,16.55,16.05,129199434,16.2,-0.05000000000000071,16.23876284834981,16.3621369109478,16.477412143598116,16.71872232789123,,,,,,,,
23,YESBANK,2021-02-05,16.85,17.45,16.75,235552294,16.9,0.04999999999999716,16.459188326210203,16.470219936415077,16.543627207035296,16.737064295494026,,,,,,,,
24,YESBANK,2021-02-08,17.15,17.3,16.9,132788785,17.05,-0.09999999999999787,16.65613335024886,16.586615679817978,16.62274552933056,16.768405680298436,16.817399577360394,,,,,,,
25,YESBANK,2021-02-09,17.1,17.1,16.6,94882109,16.65,-0.45000000000000284,16.6540888461881,16.599330973471385,16.6269937181312,16.756655634641753,16.802686635760587,16.81281817518732,,,,-0.18582445705612116,-0.18582445705612116,0.0
26,YESBANK,2021-02-10,16.65,16.7,16.3,80183508,16.4,-0.25,16.569391073364493,16.559368154610016,16.59168342753957,16.721554999995544,16.767678020782807,16.777863141668096,,,,-0.1861797141285244,-0.18589550847060182,-0.0002842056579225871
27,YESBANK,2021-02-11,16.4,16.7,16.3,58079419,16.5,0.10000000000000142,16.54626044416236,16.547471512235,16.577445845331397,16.699912900704664,16.744637472953613,16.754582093856392,,,,-0.1771362485249952,-0.1841436564814805,0.007007407956485301
28,YESBANK,2021-02-12,16.5,16.55,16.35,47492701,16.4,-0.10000000000000142,16.497506581390862,16.51793149883131,16.549929906184985,16.670813694819024,16.71524163986251,16.72515882737375,,,,-0.17522892118876499,-0.18236070942293742,0.0071317882341724315
29,YESBANK,2021-02-15,16.4,16.6,16.15,64057989,16.25,-0.14999999999999858,16.415003957334882,16.464278780216457,16.50347746634503,16.630232239909194,16.675888341892264,16.686078143034013,,,,-0.18260067668898472,-0.18240870287614688,-0.00019197381283783677
30,YESBANK,2021-02-16,16.25,16.35,15.95,77478438,16.05,-0.1999999999999993,16.293335548548374,16.3813408864616,16.433316311961253,16.574584690315668,16.62334910049365,16.634186367398197,,,,-0.20087005543694403,-0.1861009733883063,-0.014769082048637722
31,YESBANK,2021-02-17,16.05,16.1,15.75,87586901,15.9,-0.15000000000000036,16.162223395137875,16.284996377184896,16.35087452777315,16.510209860306098,16.56305197422947,16.57473711287131,,,,-0.2238625850981606,-0.19365329573027718,-0.03020928936788342
32,YESBANK,2021-02-18,15.85,16.55,15.65,172725915,16.15,0.29999999999999893,16.15814892379599,16.25797997807064,16.319845556856166,16.475990117989383,16.528840833294144,16.540580528061742,,,,-0.2207349712055766,-0.19906963082533707,-0.02166534038023954
33,YESBANK,2021-02-19,16.15,16.3,15.85,94798271,15.95,-0.1999999999999993,16.08876587772292,16.196352733731203,16.262751314479402,16.42622489879597,16.481179491884415,16.493386521632992,,,,-0.23063520715358976,-0.2053827460909876,-0.02525246106260215
34,YESBANK,2021-02-22,16.0,16.0,15.55,75367244,15.6,-0.40000000000000036,15.925843806593344,16.07703378546932,16.160494167102584,16.348342156869723,16.409014660814933,16.422409225271306,,,,-0.2619150581687215,-0.21668920850653442,-0.045225849662187095
35,YESBANK,2021-02-23,15.6,15.75,15.5,65178836,15.6,0.0,15.817229154667322,15.981596057061868,16.074052996639704,16.27803672843757,16.343087652360904,16.357420107411496,,,,-0.2833671107717919,-0.23002478895958595,-0.05334232181220594
36,YESBANK,2021-02-24,15.8,16.4,15.7,100496229,16.1,0.3000000000000007,15.911486131881352,16.0052829951302,16.078053116983913,16.26136117067835,16.323368384476076,16.33717821035096,,,,-0.2591250933670466,-0.2358448498410781,-0.023280243525968497
37,YESBANK,2021-02-25,16.1,16.35,16.05,69277131,16.1,0.0,15.974324100707479,16.024230331311923,16.081435480159254,16.246289021499575,16.305324472129755,16.318612660747846,,,,-0.23717718058859205,-0.2361113159905809,-0.0010658645980111403
38,YESBANK,2021-02-26,15.8,15.95,15.65,115922281,15.75,-0.05000000000000071,15.899549390327971,15.969375150669311,16.03036978340333,16.20004797588838,16.26063722675094,16.27428976205108,,,,-0.2439199786477495,-0.23767304852201465,-0.006246930125734851
39,YESBANK,2021-03-01,15.95,16.9,15.75,182912199,16.3,0.3500000000000014,16.033032938957263,16.03550891122005,16.07190339947383,16.209339826302188,16.263793572387687,16.27628611826091,,,,-0.20438271878708036,-0.23101498257502778,0.02663226378794742
40,YESBANK,2021-03-02,16.5,16.65,16.25,82198118,16.3,-0.1999999999999993,16.122021964670154,16.088412754677623,16.107032430957837,16.21775060161679,16.26668738066573,16.278120902878968,,,,-0.17108847192113075,-0.2190296804442484,0.047941208523117645
41,YESBANK,2021-03-03,16.4,16.55,16.25,95262247,16.35,-0.04999999999999716,16.19801464616793,16.140734654797104,16.144445622744033,16.229996894832393,16.27332623266925,16.28366403520549,,,,-0.1392184124614566,-0.20306742684769005,0.06384901438623344
42,YESBANK,2021-03-04,16.25,16.75,16.05,147502225,16.6,0.3500000000000014,16.332009767702537,16.232593975459093,16.21458415645011,16.26420134302975,16.299285843538918,16.307985038767956,,,,-0.09340088231784804,-0.18113411794172168,0.08773323562387364
43,YESBANK,2021-03-05,16.6,16.9,16.3,102085430,16.35,-0.25,16.33800651190882,16.25607645887528,16.235430753928586,16.272120733512967,16.303305694433565,16.311206244756644,,,,-0.07577549082805746,-0.16006239251898885,0.08428690169093139
44,YESBANK,2021-03-08,16.55,16.65,16.25,67424765,16.25,-0.3000000000000007,16.30867100758984,16.2548611141645,16.237673395334056,16.270081784971723,16.2990902972025,16.306525821099235,,,,-0.06885242576517925,-0.14182039916822695,0.0729679734030477
45,YESBANK,2021-03-09,16.25,16.4,15.95,77245066,16.05,-0.1999999999999993,16.222447337708644,16.213887463608252,16.20878728037787,16.249821665543376,16.279434705633733,16.286956248025234,,,,-0.0781689676473647,-0.1290901128640545,0.050921145216689806
46,YESBANK,2021-03-10,16.1,16.25,16.0,44844215,16.05,-0.05000000000000071,16.164964891501505,16.18110905715799,16.184348957803575,16.231447732407737,16.26136601913904,16.268919491184768,,,,-0.0845705333811928,-0.12018619696748217,0.03561566358628937
47,YESBANK,2021-03-12,16.0,16.25,15.85,81941288,15.9,-0.09999999999999964,16.076643260689337,16.12488599191014,16.14058855478277,16.20100230574751,16.232959321160777,16.24089518266931,,,,-0.10030662788653899,-0.11621028315129354,0.015903655264754554
48,YESBANK,2021-03-15,15.7,15.75,15.45,80253110,15.65,-0.049999999999998934,15.934428840125,16.029907099048042,16.065092357514786,16.150437373074077,16.18721048705454,16.196093524636435,,,,-0.13100116712164933,-0.11916845994536471,-0.011832707176284624
49,YESBANK,2021-03-16,15.65,15.65,15.4,53393224,15.45,-0.20000000000000107,15.772952559830085,15.913924023872669,15.970440449095868,16.08621415951109,16.129446256056273,16.13962332356268,16.313988692259073,,,-0.1691828744668129,-0.12917134284965434,-0.04001153161715856
50,YESBANK,2021-03-17,15.45,15.55,15.05,81186413,15.1,-0.34999999999999964,15.548635039652188,15.751137360403018,15.836499814350276,15.995858600956504,16.04889919890964,16.061063265376657,16.25926796211769,,,-0.22456345102638053,-0.1482497644849996,-0.07631368654138093
51,YESBANK,2021-03-18,15.2,15.3,14.8,92968773,14.9,-0.29999999999999893,15.332423359617419,15.580908333384903,15.692398595948749,15.895528757134455,15.959124278442319,15.973457182170725,16.19835565998247,,,-0.28105858622197566,-0.1748115288323948,-0.10624705738958085
52,YESBANK,2021-03-19,14.85,15.05,14.3,133410477,14.95,0.09999999999999964,15.204948906352374,15.454725744627622,15.578167111838514,15.80901791819304,15.880367199596082,15.896340298885738,16.142724982982237,,,-0.31817318704722375,-0.2034838604753606,-0.11468932657186315
53,YESBANK,2021-03-22,14.95,15.1,14.75,62159949,14.85,-0.09999999999999964,15.086632604198263,15.333779888651831,15.466127861841562,15.721324244284446,15.800042333798082,15.817599606460728,16.08542348702743,,,-0.3514717446191664,-0.23308143730412179,-0.11839030731504463
54,YESBANK,2021-03-23,14.9,15.05,14.75,61085946,14.9,0.0,15.024421736119328,15.247023505178754,15.379022360149284,15.646261370071397,15.729949776969496,15.74862843352445,16.033145415312724,,,-0.3696060733751665,-0.26038636451833075,-0.10921970885683574
55,YESBANK,2021-03-24,14.85,15.0,14.6,59903730,14.65,-0.1999999999999993,14.899614490729036,15.127618357395306,15.266855368253486,15.55525454829702,15.645926723979683,15.66614023894918,15.972444186844475,,,-0.39928487069569485,-0.28816606575380355,-0.1111188049418913
56,YESBANK,2021-03-25,14.65,14.7,14.1,110609689,14.2,-0.45000000000000107,14.666409660464618,14.942094130613414,15.10271175503346,15.431508651032074,15.53352853397294,15.55616913727411,15.895019674532485,,,-0.45345738224065,-0.3212243290511729,-0.13223305318947715
57,YESBANK,2021-03-26,14.25,14.5,14.0,106766399,14.05,-0.1999999999999993,14.460939773630507,14.763674877261495,14.940746066176544,15.305415866915569,15.418300873663467,15.44330090166189,15.814783283279269,,,-0.5025548354853466,-0.35749043033800765,-0.14506440514733898
58,YESBANK,2021-03-30,14.15,16.85,14.0,336333365,16.3,2.1500000000000004,15.073959849112013,15.070940490413173,15.149873018774233,15.396160438958164,15.486732427588828,15.507444242032689,15.835794664834877,,,-0.35757122325845536,-0.35750658892209725,-6.463433635811588e-05
59,YESBANK,2021-03-31,16.15,16.25,15.4,208381534,15.6,-0.5499999999999989,15.249306566079444,15.176752554487054,15.219126395434701,15.414752369067317,15.495517431106562,15.514368608134562,15.825625593086855,,,-0.2952422126998613,-0.3450537136776501,0.0498115009777888
60,YESBANK,2021-04-01,15.65,15.85,15.35,93196660,15.7,0.049999999999998934,15.399537710722353,15.2814021718897,15.293109726774171,15.440761627729623,15.511366955262739,15.528245980594441,15.820228869237626,,,-0.23513625382027037,-0.32307022170617417,0.0879339678859038
61,YESBANK,2021-04-05,15.85,15.95,15.2,83064018,15.5,-0.34999999999999964,15.433025140481975,15.325121780391827,15.324940010457079,15.446161591274691,15.51048641525459,15.526135819096927,15.806523524100234,,,-0.20119580863984865,-0.29869533909290913,0.09749953045306048
62,YESBANK,2021-04-06,15.65,15.85,15.5,59808985,15.6,-0.05000000000000071,15.48868342698843,15.380097467449458,15.367258069116984,15.460181495565278,15.517416820767997,15.531650473535212,15.797716163738718,,,-0.1643924044182281,-0.2718347521579729,0.10744234773974481
63,YESBANK,2021-04-07,15.6,15.7,15.4,50497122,15.6,0.0,15.52578895132582,15.424078001566595,15.403065334217105,15.472920845615846,15.523807459375739,15.536750422191941,15.789313223301821,,,-0.13368508797483614,-0.24420481932134558,0.11051973134650944
64,YESBANK,2021-04-08,15.65,15.7,15.5,45104506,15.55,-0.09999999999999964,15.533859300883911,15.449262413900085,15.425671102351023,15.479942360257327,15.525833415528199,15.537738513699356,15.779175702080181,,,-0.11206741134833287,-0.21777733772674304,0.10570992637841017
65,YESBANK,2021-04-09,15.55,15.65,15.4,40565587,15.45,-0.10000000000000142,15.505906200589207,15.449409931179332,15.429414070617378,15.4772152717984,15.51997030241545,15.531198664021513,15.765275246016305,,,-0.10178459340413504,-0.19457878886222146,0.09279419545808643
66,YESBANK,2021-04-12,15.2,15.25,14.4,123708161,14.45,-0.75,15.153937467058912,15.249527880703853,15.278732907131616,15.383674416194264,15.437277273104616,15.450645690314953,15.709900515154153,,,-0.17191278318333758,-0.1900455877264447,0.018132804543107117
67,YESBANK,2021-04-13,14.4,14.75,14.3,79542179,14.7,0.29999999999999893,15.002624978039115,15.139622276305245,15.189696037439287,15.321426824744242,15.38031717611588,15.394744036044552,15.667504777494427,,,-0.20504799860526468,-0.1930460699022087,-0.01200192870305597
68,YESBANK,2021-04-15,14.7,14.7,14.4,58323051,14.55,-0.14999999999999858,14.851749985359303,15.021697796788539,15.09128029178545,15.251199296907123,15.316190498258806,15.331859731012589,15.62072113071099,,,-0.24057943922713854,-0.20255274376719468,-0.03802669545994386
69,YESBANK,2021-04-16,14.55,14.8,14.45,65324005,14.6,0.049999999999998934,14.76783332357283,14.937358223552716,15.01569807766111,15.191924305148596,15.260895056835949,15.277398771162762,15.578102156170015,,,-0.2617006935016519,-0.21438233371408613,-0.047318359787565795
70,YESBANK,2021-04-19,14.2,14.3,14.05,75069350,14.2,0.0,14.578555549048493,14.789886559428949,14.89020517953358,15.10164544681561,15.179009068461871,15.197251986292736,15.520706844947746,,,-0.3070468067591552,-0.23291522832309994,-0.07413157843605525
71,YESBANK,2021-04-20,14.3,14.35,14.0,79998707,14.05,-0.25,14.40237036603229,14.641909231959328,14.760942071848657,15.005941163652,15.09188853337264,15.111935761300161,15.459603353932774,,,-0.35099368945150466,-0.2565309205487809,-0.09446276890272376
72,YESBANK,2021-04-22,14.0,14.2,13.9,65105485,14.05,0.05000000000000071,14.284913577354843,14.523527375593812,14.651565815488317,14.91895466810718,15.011510181397037,15.032987164560845,15.401174747811657,,,-0.38142134907252867,-0.2815090062535305,-0.09991234281899819
73,YESBANK,2021-04-23,14.0,14.15,13.9,89475097,14.0,0.0,14.18994238490322,14.418821893417913,14.551324491955699,14.83534102129577,14.933492874846559,14.956211450483684,15.343225011069466,,,-0.4048869585279853,-0.30618459670842146,-0.09870236181956382
74,YESBANK,2021-04-26,14.05,14.2,14.0,73016298,14.05,0.0,14.14329492326881,14.345057510756963,14.47419736784478,14.763890206351007,14.865363548814837,14.888875039195575,15.289854190998474,,,-0.4146776713507947,-0.3278832116368961,-0.0867944597138986
75,YESBANK,2021-04-27,14.05,15.05,14.0,127545345,14.75,0.6999999999999993,14.345529948845883,14.426046012099084,14.51662867199028,14.762626557122141,14.856469143656003,14.878558259407223,15.267620314495131,,,-0.3619295874169435,-0.3346924867929056,-0.02723710062403789
76,YESBANK,2021-04-28,14.8,15.05,14.75,81387698,14.8,0.0,14.49701996589726,14.500836812260202,14.560224373905449,14.766026351941235,14.852116199039704,14.872723555457933,15.248399239413445,,,-0.312499181552484,-0.3302538257448213,0.0177546441923373
77,YESBANK,2021-04-29,14.95,15.15,14.35,135559239,14.5,-0.4499999999999993,14.498013310598173,14.500669449803542,14.550959065293045,14.741827843951672,14.824977597204038,14.845046000257181,15.217695001462031,,,-0.2940869349641364,-0.32302044758868437,0.028933512624547963
78,YESBANK,2021-04-30,14.5,14.8,14.4,98365622,14.55,0.05000000000000071,14.51534220706545,14.510535560060731,14.55081151651262,14.724379579251448,14.803787461762981,14.823140613687492,15.190351295564486,,,-0.27232909717487175,-0.31288217750592184,0.040553080331050095
79,YESBANK,2021-05-03,12.85,14.0,12.85,248997751,13.9,1.0500000000000007,14.310228138043632,14.38842844589114,14.45068651060511,14.64939937686384,14.734150037400843,14.754614631428788,15.13759993992436,,,-0.30392812082367904,-0.3110913661694733,0.007163245345794267
80,YESBANK,2021-05-04,14.0,14.15,13.8,104431586,13.85,-0.15000000000000036,14.156818758695753,14.280742755190795,14.358273078500275,14.576694439401948,14.666034380333553,14.687474418149401,15.085048598538993,,,-0.329201339649126,-0.31471336086540386,-0.014487978783722155
