,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,ZYDUSLIFE,2022-03-07,343.7,345.75,331.55,969180,342.1,-1.599999999999966,,,,,,,,,,,,
1,ZYDUSLIFE,2022-03-08,342.1,347.0,335.75,978348,344.5,2.3999999999999773,,,,,,,,,,,,
2,ZYDUSLIFE,2022-03-09,350.0,363.0,348.05,3946522,359.35,9.350000000000023,,,,,,,,,,,,
3,ZYDUSLIFE,2022-03-10,368.0,368.0,361.5,2097821,365.75,-2.25,,,,,,,,,,,,
4,ZYDUSLIFE,2022-03-11,363.1,374.6,362.4,1365084,370.65,7.5499999999999545,362.32867298578196,,,,,,,,,,,
5,ZYDUSLIFE,2022-03-14,373.0,374.15,363.1,840970,365.35,-7.649999999999977,363.4327067669173,,,,,,,,,,,
6,ZYDUSLIFE,2022-03-15,368.0,373.65,366.55,1707534,369.6,1.6000000000000227,365.6162700339971,,,,,,,,,,,
7,ZYDUSLIFE,2022-03-16,372.15,376.0,369.55,1078307,375.15,3.0,368.92321173671684,,,,,,,,,,,
8,ZYDUSLIFE,2022-03-17,378.0,378.6,371.4,994040,373.3,-4.699999999999989,370.42110479369876,367.88315959789026,,,,,,,,,,
9,ZYDUSLIFE,2022-03-21,375.0,377.9,365.5,1058349,366.4,-8.600000000000023,369.0570822921154,367.5508457506664,,,,,,,,,,
10,ZYDUSLIFE,2022-03-22,368.0,368.0,358.3,1459296,360.1,-7.899999999999977,366.0364667987823,365.92064327407695,,,,,,,,,,
11,ZYDUSLIFE,2022-03-23,360.9,369.0,360.5,1283159,367.8,6.900000000000034,366.6288771108098,366.32425028162737,365.9252937940338,,,,,,,,,
12,ZYDUSLIFE,2022-03-24,365.0,373.35,364.0,1188562,367.1,2.1000000000000227,366.7867291541493,366.4884258739391,366.129267417871,,,,,,,,,
13,ZYDUSLIFE,2022-03-25,368.25,368.7,355.1,1215354,359.15,-9.100000000000023,364.23240295725356,364.9532217057959,364.94092101211,,,,,,,,,
14,ZYDUSLIFE,2022-03-28,361.0,366.85,350.1,2335329,353.05,-7.949999999999989,360.4964035589485,362.4857613203197,362.94898817711777,,,,,,,,,
15,ZYDUSLIFE,2022-03-29,355.0,357.9,353.5,1395003,356.0,1.0,358.995317060244,361.1510399907399,361.8006130911703,,,,,,,,,
16,ZYDUSLIFE,2022-03-30,357.0,358.5,353.75,1064497,355.85,-1.1499999999999773,357.9458128361668,360.06640825723775,360.8283228740474,,,,,,,,,
17,ZYDUSLIFE,2022-03-31,355.9,357.5,347.0,1235444,348.5,-7.399999999999977,354.795076644932,357.7106897538949,358.83300724736154,,,,,,,,,
18,ZYDUSLIFE,2022-04-01,350.5,355.15,346.05,1081594,354.4,3.8999999999999773,354.6633249977102,357.0388698580516,358.1212290598318,,,,,,,,,
19,ZYDUSLIFE,2022-04-04,356.0,365.9,355.1,1143878,363.4,7.399999999999977,357.5764260514493,358.32593473417637,358.9631505471448,,,,,,,,,
20,ZYDUSLIFE,2022-04-05,365.0,369.8,363.5,925396,365.45,0.44999999999998863,360.20147698633264,359.7640117062724,359.99194248320265,360.53348949794383,,,,,,,,
21,ZYDUSLIFE,2022-04-06,365.0,372.9,363.6,1595289,369.5,4.5,363.3013989843942,361.7256839513626,361.49275812441834,361.46278731088296,,,,,,,,
22,ZYDUSLIFE,2022-04-07,369.5,376.7,367.6,948403,369.15,-0.35000000000002274,365.2511063845276,363.21936429357027,362.6966125047629,362.24948137151443,,,,,,,,
23,ZYDUSLIFE,2022-04-08,369.9,372.55,347.0,1179004,369.25,-0.6499999999999773,366.5841501100708,364.4312142343991,363.7234592589983,362.9578051512319,,,,,,,,
24,ZYDUSLIFE,2022-04-11,370.1,374.7,370.0,618319,371.95,1.849999999999966,368.37283757587727,365.94067396515106,365.0088168271073,363.8583985796372,363.63213908289265,,,,,,,
25,ZYDUSLIFE,2022-04-12,371.95,372.0,361.9,689297,363.35,-8.599999999999966,366.69851417940515,365.4209684586072,364.7502549510502,363.8079473976713,363.6073415540394,363.56701862716665,,,,1.1832363238835342,1.1832363238835342,0.0
26,ZYDUSLIFE,2022-04-13,365.0,369.35,361.1,711276,364.8,-0.19999999999998863,366.065664980859,365.2964737571678,364.75799310410736,363.9055812847095,363.7110284326858,363.6714202930972,,,,1.0865728110101713,1.1639036213088616,-0.07733081029869027
27,ZYDUSLIFE,2022-04-18,364.8,367.0,358.7,720886,364.9,0.0999999999999659,365.67710542789564,365.2170253301266,364.780045452156,364.00271882876615,363.8133698807589,363.7743581017075,,,,1.005687350448511,1.1322603671367915,-0.12657301668828036
28,ZYDUSLIFE,2022-04-19,366.0,369.3,352.05,919270,356.35,-9.649999999999977,362.56804596420284,363.4408717996372,363.4728262426568,363.2602097861075,363.1767821834556,363.15828393813854,,,,0.3145423045182838,0.9687167546130899,-0.6541744500948061
29,ZYDUSLIFE,2022-04-20,358.0,362.95,354.05,667415,360.95,2.9499999999999886,362.0286944966994,362.9420799653268,363.082096836062,363.037423133911,362.98842582135904,362.97665783219855,,,,0.1054390038634665,0.7960612044631653,-0.6906222005996988
30,ZYDUSLIFE,2022-04-21,361.1,364.1,359.05,501945,361.55,0.44999999999998863,361.8691291097005,362.66338796907684,362.8450537840396,362.8947708527764,362.8676793616408,362.8602699183105,,,,-0.01521613427092916,0.6338057367163465,-0.6490218709872757
31,ZYDUSLIFE,2022-04-22,360.0,360.35,351.2,974094,352.3,-7.699999999999989,358.6794120132769,360.5890669288166,361.214964794039,361.88372423041875,361.98677594121295,362.0051734440038,,,,-0.790208649964768,0.34900285938012365,-1.1392115093448916
32,ZYDUSLIFE,2022-04-25,350.0,350.9,337.55,1775125,341.15,-8.850000000000023,352.8362656466102,356.6987877857079,358.11554140797574,359.9140316189288,360.2609643658236,360.32803839064604,,,,-2.2124969826703023,-0.16329710902996153,-2.0491998736403407
